S.number;FA (%);SF (%);TCM(kg/m3);ssa(kg/m3);ca(kg/m3);W(lt/m3);HRWRA(lt/m3);Age(days);fc (MPa)
124;55;0;410;536;1132;205;0;56;33.7
125;55;0;410;536;1132;205;0;90;41.4
126;55;0;410;536;1132;205;0;180;48.4
127;0;5;410;605;1132;205;0;3;27.4
128;0;5;410;605;1132;205;0;7;39.2
129;0;5;410;605;1132;205;0;28;57.3
130;0;5;410;605;1132;205;0;56;59.6
131;0;5;410;605;1132;205;0;90;67.3
132;0;5;410;605;1132;205;0;180;66.3
133;20;5;410;578;1132;205;0;3;20.1
134;20;5;410;578;1132;205;0;7;30.6
135;20;5;410;578;1132;205;0;28;52.9
136;20;5;410;578;1132;205;0;56;60.7
137;20;5;410;578;1132;205;0;90;63.7
138;20;5;410;578;1132;205;0;180;68
139;40;5;410;552;1132;205;0;3;11.4
140;40;5;410;552;1132;205;0;7;11.68
141;40;5;410;552;1132;205;0;28;38.7
142;40;5;410;552;1132;205;0;56;45.9
143;40;5;410;552;1132;205;0;90;48.7
144;40;5;410;552;1132;205;0;180;58.4
