No.;Water (kg/m3);Cement (kg/m3);Fine aggregate(kg/m3);Coarse aggregate (kg/m3);Superplasticizer (kg/m3);Compressive strength  (MPa)
156;180;514;665;950;1.25;52.1
157;180;463;647;950;0.5;45.5
158;180;463;647;950;1;45.5
159;180;463;647;950;1.5;45.5
160;180;411;628;950;0.5;45.7
161;180;411;628;950;1;45.7
162;180;411;628;950;1.5;45.7
163;160;400;914;845;0.5;49.6
164;160;400;914;845;1;49.6
165;160;400;914;845;1.5;49.6
166;160;360;900;845;0.5;48
167;160;360;900;845;1;48
168;160;360;900;845;1.5;48
169;160;320;886;845;0.5;47.7
170;160;320;886;845;1;47.7
171;160;320;886;845;1.5;47.7
172;160;400;863;989;0.5;49.1
173;160;400;863;989;1;49.1
174;160;400;863;989;1.5;49.1
175;160;360;848;898;0.5;48
176;160;360;848;898;1;48
177;160;360;848;898;1.5;48
178;160;320;834;898;0.5;48.5
179;160;320;834;898;1;48.5
180;160;320;834;898;1.5;48.5
181;160;400;811;950;0.5;49.4
182;160;400;811;950;1;49.4
183;160;400;811;950;1.5;49.4
184;160;360;797;950;0.5;48.7
185;160;360;797;950;1;48.7
186;160;360;797;950;1.5;48.7
187;160;320;782;950;0.5;46.1
188;160;320;782;950;1;46.1
189;160;320;782;950;1.5;46.1
190;170;425;868;845;0;47.7
191;170;425;868;845;0.5;47.7
192;170;425;868;845;1;47.7
193;170;425;853;845;0;47.1
194;170;425;853;845;0.5;47.1
195;170;425;853;845;1;47.1
196;170;340;838;845;0;45
197;170;340;838;845;0.5;45
198;170;340;838;845;1;45
199;170;425;816;898;0;46
200;170;425;816;898;0.5;46
201;170;425;816;898;1;46
202;170;383;801;898;0;45.7
203;170;383;801;898;0.5;45.7
204;170;383;801;898;1;45.7
205;170;340;786;898;0;45.1
206;170;340;786;898;0.5;45.1
207;170;340;786;898;1;45.1
208;170;425;764;950;0;46
209;170;425;764;950;0.5;46
210;170;425;764;950;1;46
211;170;383;749;950;0;45
212;170;383;749;950;0.5;45
213;170;383;749;950;1;45
214;170;340;734;950;0;43.3
215;170;340;734;950;0.5;43.3
216;170;340;734;950;1;43.3
217;180;450;821;845;0;44.5
218;180;450;821;845;0.5;44.5
219;180;450;821;845;1;44.5
220;180;405;805;845;0;43.6
221;180;405;805;845;0.5;43.6
222;180;405;805;845;1;43.6
223;180;360;789;845;0;42
224;180;360;789;845;0.5;42
225;180;360;789;845;1;42
226;180;450;770;898;0;43.8
227;180;450;770;898;0.5;43.8
228;180;450;770;898;1;43.8
229;180;405;754;898;0;43
230;180;405;754;898;0.5;43
231;180;405;754;898;1;43
232;180;360;738;898;0;43.2
233;180;360;738;898;0.5;43.2
234;180;360;738;898;1;43.2
235;180;450;718;950;0;43.5
236;180;450;718;950;0.5;43.5
237;180;450;718;950;1;43.5
238;180;405;702;950;0;41.5
239;180;405;702;950;0.5;41.5
240;180;405;702;950;1;41.5
241;180;360;686;950;0;42.4
242;180;360;686;950;0.5;42.4
243;180;360;686;950;1;42.4
244;160;356;951;845;0.5;46
245;160;356;951;845;1;46
246;160;356;951;845;1.5;46
247;160;320;938;845;0.5;45
248;160;320;938;845;1;45
249;160;320;938;845;1.5;45
250;160;284;926;845;0.5;43.7
251;160;284;926;845;1;43.7
252;160;284;926;845;1.5;43.7
253;160;356;899;898;0.5;44.5
254;160;356;899;898;1;44.5
255;160;356;899;898;1.5;44.5
256;160;320;886;898;0.5;42.6
257;160;320;886;898;1;42.6
258;160;320;886;898;1.5;42.6
259;160;284;874;898;0.5;43.8
260;160;284;874;898;1;43.8
261;160;284;874;898;1.5;43.8
262;160;356;847;950;0.5;43.6
263;160;356;847;950;1;43.6
264;160;356;847;950;1.5;43.6
265;160;320;835;950;0.5;42.6
266;160;320;835;950;1;42.6
267;160;320;835;950;1.5;42.6
268;160;284;822;950;0.5;42.9
269;160;284;822;950;1;42.9
270;160;284;822;950;1.5;42.9
271;170;378;907;845;0.5;44.9
272;170;378;907;845;1;44.9
273;170;378;907;845;1.5;44.9
274;170;340;893;845;0;41.1
275;170;340;893;845;0.5;41.1
276;170;340;893;845;1;41.1
277;170;302;880;845;0;41.5
278;170;302;880;845;0.5;41.5
279;170;302;880;845;1;41.5
280;170;378;855;898;0;42.5
281;170;378;855;898;0.5;42.5
282;170;378;855;898;1;42.5
283;170;340;842;898;0;40.8
284;170;340;842;898;0.5;40.8
285;170;340;842;898;1;40.8
286;170;302;828;898;0;40.8
287;170;302;828;898;0.5;40.8
288;170;302;828;898;1;40.8
289;170;378;803;950;0;41.8
290;170;378;803;950;0.5;41.8
291;170;378;803;950;1;41.8
292;170;340;790;950;0;41.3
293;170;340;790;950;0.5;41.3
294;170;340;790;950;1;41.3
295;170;302;776;950;0;41
296;170;302;776;950;0.5;41
297;170;302;776;950;1;41
298;180;400;863;845;0;41.3
299;180;400;863;845;0.5;41.3
300;180;400;863;845;1;41.3
301;180;360;848;845;0;41.5
302;180;360;848;845;0.5;41.5
303;180;360;848;845;1;41.5
304;180;320;834;845;0;40.3
305;180;320;834;845;0.5;40.3
306;180;320;834;845;1;40.3
307;180;400;811;898;0;41.5
308;180;400;811;898;0.5;41.5
309;180;400;811;898;1;41.5
310;180;360;797;898;0;40
311;180;360;797;898;0.5;40
312;180;360;797;898;1;40
313;180;320;782;898;0;40
314;180;320;782;898;0.5;40
315;180;320;782;898;1;40
316;180;400;759;950;0;42.1
317;180;400;759;950;0.5;42.1
318;180;400;759;950;1;42.1
319;180;360;745;950;0;39.5
320;180;360;745;950;0.5;39.5
321;180;360;745;950;1;39.5
322;180;320;731;950;0;37.5
323;180;320;731;950;0.5;37.5
324;180;320;731;950;1;37.5
